datetime,epoch,train_loss,test_loss,test_accuracy
2016-07-14_13-20-39,72,4130.301696,0.000000,0.000000
2016-07-14_13-20-41,73,4130.245765,0.000000,0.000000
2016-07-14_13-20-43,74,4131.597625,0.000000,0.000000
2016-07-14_13-20-45,75,4131.791943,0.000000,0.000000
2016-07-14_13-20-47,76,4126.139763,0.000000,0.000000
2016-07-14_13-20-49,77,4132.442525,0.000000,0.000000
2016-07-14_13-20-51,78,4129.167785,0.000000,0.000000
2016-07-14_13-20-53,79,4133.047933,0.000000,0.000000
2016-07-14_13-20-55,80,4135.345211,0.000000,0.000000
2016-07-14_13-20-57,81,4130.090465,0.000000,0.000000
2016-07-14_13-20-59,82,4132.941141,0.000000,0.000000
2016-07-14_13-21-01,83,4131.844377,0.000000,0.000000
2016-07-14_13-21-03,84,4130.124692,0.000000,0.000000
2016-07-14_13-21-05,85,4130.927600,0.000000,0.000000
2016-07-14_13-21-07,86,4130.098769,0.000000,0.000000
2016-07-14_13-21-09,87,4129.283891,0.000000,0.000000
2016-07-14_13-21-11,88,4129.325128,0.000000,0.000000
2016-07-14_13-21-13,89,4128.713505,0.000000,0.000000
2016-07-14_13-21-15,90,4129.688980,0.000000,0.000000
2016-07-14_13-21-17,91,4129.501533,0.000000,0.000000
2016-07-14_13-21-19,92,4130.708479,0.000000,0.000000
2016-07-14_13-21-21,93,4128.406137,0.000000,0.000000
2016-07-14_13-21-23,94,4132.720597,0.000000,0.000000
2016-07-14_13-21-24,95,4129.529895,0.000000,0.000000
2016-07-14_13-21-27,96,4132.655829,0.000000,0.000000
2016-07-14_13-21-29,97,4124.809665,0.000000,0.000000
2016-07-14_13-21-30,98,4130.533291,0.000000,0.000000
2016-07-14_13-21-32,99,4130.529061,0.000000,0.000000
